WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187247, seq 374): Starting change to view 187248
INFO  | pbft_engine::node:48 | (V(187248), view 187248, seq 374): Updated to view 187248
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187248, seq 374): Starting change to view 187249
INFO  | pbft_engine::node:48 | (V(187249), view 187249, seq 374 *): Updated to view 187249
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187249
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187249
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187249, seq 374 *): Starting change to view 187250
INFO  | pbft_engine::node:48 | (V(187250), view 187250, seq 374): Updated to view 187250
INFO  | pbft_engine::node:39 | (PP, view 187250, seq 374): Received f + 1 ViewChange messages; starting early view change
INFO  | pbft_engine::node:16 | (PP, view 187250, seq 374): Starting change to view 187251
INFO  | pbft_engine::node:48 | (V(187251), view 187251, seq 374): Updated to view 187251
INFO  | pbft_engine::node:39 | (PP, view 187251, seq 374): Received f + 1 ViewChange messages; starting early view change
INFO  | pbft_engine::node:16 | (PP, view 187251, seq 374): Starting change to view 187252
INFO  | pbft_engine::node:48 | (V(187252), view 187252, seq 374): Updated to view 187252
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187252
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187252
INFO  | pbft_engine::node:39 | (PP, view 187252, seq 374): Received f + 1 ViewChange messages; starting early view change
INFO  | pbft_engine::node:16 | (PP, view 187252, seq 374): Starting change to view 187253
INFO  | pbft_engine::node:48 | (V(187253), view 187253, seq 374): Updated to view 187253
INFO  | pbft_engine::node:39 | (PP, view 187253, seq 374): Received f + 1 ViewChange messages; starting early view change
INFO  | pbft_engine::node:16 | (PP, view 187253, seq 374): Starting change to view 187254
INFO  | pbft_engine::node:48 | (V(187254), view 187254, seq 374 *): Updated to view 187254
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187254
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187254
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187254, seq 374 *): Starting change to view 187255
INFO  | pbft_engine::node:48 | (V(187255), view 187255, seq 374): Updated to view 187255
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187255, seq 374): Starting change to view 187256
INFO  | pbft_engine::node:48 | (V(187256), view 187256, seq 374): Updated to view 187256
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187256, seq 374): Starting change to view 187257
INFO  | pbft_engine::node:48 | (V(187257), view 187257, seq 374): Updated to view 187257
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187257, seq 374): Starting change to view 187258
INFO  | pbft_engine::node:48 | (V(187258), view 187258, seq 374): Updated to view 187258
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187258, seq 374): Starting change to view 187259
INFO  | pbft_engine::node:48 | (V(187259), view 187259, seq 374 *): Updated to view 187259
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187259
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187259
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187259, seq 374 *): Starting change to view 187260
INFO  | pbft_engine::node:48 | (V(187260), view 187260, seq 374): Updated to view 187260
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187260, seq 374): Starting change to view 187261
INFO  | pbft_engine::node:48 | (V(187261), view 187261, seq 374): Updated to view 187261
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187261, seq 374): Starting change to view 187262
INFO  | pbft_engine::node:48 | (V(187262), view 187262, seq 374): Updated to view 187262
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187262
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187262, seq 374): Starting change to view 187263
INFO  | pbft_engine::node:48 | (V(187263), view 187263, seq 374): Updated to view 187263
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187263
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187263
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187263, seq 374): Starting change to view 187264
INFO  | pbft_engine::node:48 | (V(187264), view 187264, seq 374 *): Updated to view 187264
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187264
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187264
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187264, seq 374 *): Starting change to view 187265
INFO  | pbft_engine::node:48 | (V(187265), view 187265, seq 374): Updated to view 187265
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187265, seq 374): Starting change to view 187266
INFO  | pbft_engine::node:48 | (V(187266), view 187266, seq 374): Updated to view 187266
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187266, seq 374): Starting change to view 187267
INFO  | pbft_engine::node:48 | (V(187267), view 187267, seq 374): Updated to view 187267
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187267
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187267, seq 374): Starting change to view 187268
INFO  | pbft_engine::node:48 | (V(187268), view 187268, seq 374): Updated to view 187268
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187268
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187268, seq 374): Starting change to view 187269
INFO  | pbft_engine::node:48 | (V(187269), view 187269, seq 374 *): Updated to view 187269
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187269
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187269
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187269, seq 374 *): Starting change to view 187270
INFO  | pbft_engine::node:48 | (V(187270), view 187270, seq 374): Updated to view 187270
INFO  | pbft_engine::node:39 | (PP, view 187270, seq 374): Received f + 1 ViewChange messages; starting early view change
INFO  | pbft_engine::node:16 | (PP, view 187270, seq 374): Starting change to view 187271
INFO  | pbft_engine::node:48 | (V(187271), view 187271, seq 374): Updated to view 187271
INFO  | pbft_engine::node:39 | (PP, view 187271, seq 374): Received f + 1 ViewChange messages; starting early view change
INFO  | pbft_engine::node:16 | (PP, view 187271, seq 374): Starting change to view 187272
INFO  | pbft_engine::node:48 | (V(187272), view 187272, seq 374): Updated to view 187272
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187272, seq 374): Starting change to view 187273
INFO  | pbft_engine::node:48 | (V(187273), view 187273, seq 374): Updated to view 187273
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187273
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187273
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187273, seq 374): Starting change to view 187274
INFO  | pbft_engine::node:48 | (V(187274), view 187274, seq 374 *): Updated to view 187274
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187274
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187274
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187274, seq 374 *): Starting change to view 187275
INFO  | pbft_engine::node:48 | (V(187275), view 187275, seq 374): Updated to view 187275
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187275, seq 374): Starting change to view 187276
INFO  | pbft_engine::node:48 | (V(187276), view 187276, seq 374): Updated to view 187276
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187276, seq 374): Starting change to view 187277
INFO  | pbft_engine::node:48 | (V(187277), view 187277, seq 374): Updated to view 187277
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187277, seq 374): Starting change to view 187278
INFO  | pbft_engine::node:48 | (V(187278), view 187278, seq 374): Updated to view 187278
INFO  | pbft_engine::node:39 | (PP, view 187278, seq 374): Received f + 1 ViewChange messages; starting early view change
INFO  | pbft_engine::node:16 | (PP, view 187278, seq 374): Starting change to view 187279
INFO  | pbft_engine::node:48 | (V(187279), view 187279, seq 374 *): Updated to view 187279
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187279
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187279
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187279, seq 374 *): Starting change to view 187280
INFO  | pbft_engine::node:48 | (V(187280), view 187280, seq 374): Updated to view 187280
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187280, seq 374): Starting change to view 187281
INFO  | pbft_engine::node:48 | (V(187281), view 187281, seq 374): Updated to view 187281
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187281, seq 374): Starting change to view 187282
INFO  | pbft_engine::node:48 | (V(187282), view 187282, seq 374): Updated to view 187282
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187282
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187282, seq 374): Starting change to view 187283
INFO  | pbft_engine::node:48 | (V(187283), view 187283, seq 374): Updated to view 187283
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187283
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187283, seq 374): Starting change to view 187284
INFO  | pbft_engine::node:48 | (V(187284), view 187284, seq 374 *): Updated to view 187284
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187284
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187284
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187284, seq 374 *): Starting change to view 187285
INFO  | pbft_engine::node:48 | (V(187285), view 187285, seq 374): Updated to view 187285
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187285
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187285, seq 374): Starting change to view 187286
INFO  | pbft_engine::node:48 | (V(187286), view 187286, seq 374): Updated to view 187286
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187286, seq 374): Starting change to view 187287
INFO  | pbft_engine::node:48 | (V(187287), view 187287, seq 374): Updated to view 187287
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187287
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187287, seq 374): Starting change to view 187288
INFO  | pbft_engine::node:48 | (V(187288), view 187288, seq 374): Updated to view 187288
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187288, seq 374): Starting change to view 187289
INFO  | pbft_engine::node:48 | (V(187289), view 187289, seq 374 *): Updated to view 187289
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187289
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187289
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187289, seq 374 *): Starting change to view 187290
INFO  | pbft_engine::node:48 | (V(187290), view 187290, seq 374): Updated to view 187290
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187290, seq 374): Starting change to view 187291
INFO  | pbft_engine::node:48 | (V(187291), view 187291, seq 374): Updated to view 187291
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187291, seq 374): Starting change to view 187292
INFO  | pbft_engine::node:48 | (V(187292), view 187292, seq 374): Updated to view 187292
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187292, seq 374): Starting change to view 187293
INFO  | pbft_engine::node:48 | (V(187293), view 187293, seq 374): Updated to view 187293
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187293, seq 374): Starting change to view 187294
INFO  | pbft_engine::node:48 | (V(187294), view 187294, seq 374 *): Updated to view 187294
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187294
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187294
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187294, seq 374 *): Starting change to view 187295
INFO  | pbft_engine::node:48 | (V(187295), view 187295, seq 374): Updated to view 187295
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187295, seq 374): Starting change to view 187296
INFO  | pbft_engine::node:48 | (V(187296), view 187296, seq 374): Updated to view 187296
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187296, seq 374): Starting change to view 187297
INFO  | pbft_engine::node:48 | (V(187297), view 187297, seq 374): Updated to view 187297
INFO  | pbft_engine::node:39 | (PP, view 187297, seq 374): Received f + 1 ViewChange messages; starting early view change
INFO  | pbft_engine::node:16 | (PP, view 187297, seq 374): Starting change to view 187298
INFO  | pbft_engine::node:48 | (V(187298), view 187298, seq 374): Updated to view 187298
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187298, seq 374): Starting change to view 187299
INFO  | pbft_engine::node:48 | (V(187299), view 187299, seq 374 *): Updated to view 187299
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187299
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187299
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187299, seq 374 *): Starting change to view 187300
INFO  | pbft_engine::node:48 | (V(187300), view 187300, seq 374): Updated to view 187300
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187300, seq 374): Starting change to view 187301
INFO  | pbft_engine::node:48 | (V(187301), view 187301, seq 374): Updated to view 187301
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187301, seq 374): Starting change to view 187302
INFO  | pbft_engine::node:48 | (V(187302), view 187302, seq 374): Updated to view 187302
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187302, seq 374): Starting change to view 187303
INFO  | pbft_engine::node:48 | (V(187303), view 187303, seq 374): Updated to view 187303
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187303, seq 374): Starting change to view 187304
INFO  | pbft_engine::node:48 | (V(187304), view 187304, seq 374 *): Updated to view 187304
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187304
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187304
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187304, seq 374 *): Starting change to view 187305
INFO  | pbft_engine::node:48 | (V(187305), view 187305, seq 374): Updated to view 187305
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187305, seq 374): Starting change to view 187306
INFO  | pbft_engine::node:48 | (V(187306), view 187306, seq 374): Updated to view 187306
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187306, seq 374): Starting change to view 187307
INFO  | pbft_engine::node:48 | (V(187307), view 187307, seq 374): Updated to view 187307
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187307
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187307
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187307, seq 374): Starting change to view 187308
INFO  | pbft_engine::node:48 | (V(187308), view 187308, seq 374): Updated to view 187308
INFO  | pbft_engine::node:39 | (PP, view 187308, seq 374): Received f + 1 ViewChange messages; starting early view change
INFO  | pbft_engine::node:16 | (PP, view 187308, seq 374): Starting change to view 187309
INFO  | pbft_engine::node:48 | (V(187309), view 187309, seq 374 *): Updated to view 187309
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187309
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187309
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187309, seq 374 *): Starting change to view 187310
INFO  | pbft_engine::node:48 | (V(187310), view 187310, seq 374): Updated to view 187310
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187310, seq 374): Starting change to view 187311
INFO  | pbft_engine::node:48 | (V(187311), view 187311, seq 374): Updated to view 187311
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187311, seq 374): Starting change to view 187312
INFO  | pbft_engine::node:48 | (V(187312), view 187312, seq 374): Updated to view 187312
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187312
INFO  | pbft_engine::node:39 | (PP, view 187312, seq 374): Received f + 1 ViewChange messages; starting early view change
INFO  | pbft_engine::node:16 | (PP, view 187312, seq 374): Starting change to view 187313
INFO  | pbft_engine::node:48 | (V(187313), view 187313, seq 374): Updated to view 187313
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187313
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187313, seq 374): Starting change to view 187314
INFO  | pbft_engine::node:48 | (V(187314), view 187314, seq 374 *): Updated to view 187314
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187314
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187314
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187314, seq 374 *): Starting change to view 187315
INFO  | pbft_engine::node:48 | (V(187315), view 187315, seq 374): Updated to view 187315
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187315, seq 374): Starting change to view 187316
INFO  | pbft_engine::node:48 | (V(187316), view 187316, seq 374): Updated to view 187316
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187316, seq 374): Starting change to view 187317
INFO  | pbft_engine::node:48 | (V(187317), view 187317, seq 374): Updated to view 187317
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187317
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187317
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187317, seq 374): Starting change to view 187318
INFO  | pbft_engine::node:48 | (V(187318), view 187318, seq 374): Updated to view 187318
INFO  | pbft_engine::node:39 | (PP, view 187318, seq 374): Received f + 1 ViewChange messages; starting early view change
INFO  | pbft_engine::node:16 | (PP, view 187318, seq 374): Starting change to view 187319
INFO  | pbft_engine::node:48 | (V(187319), view 187319, seq 374 *): Updated to view 187319
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187319
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187319
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187319, seq 374 *): Starting change to view 187320
INFO  | pbft_engine::node:48 | (V(187320), view 187320, seq 374): Updated to view 187320
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187320, seq 374): Starting change to view 187321
INFO  | pbft_engine::node:48 | (V(187321), view 187321, seq 374): Updated to view 187321
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187321, seq 374): Starting change to view 187322
INFO  | pbft_engine::node:48 | (V(187322), view 187322, seq 374): Updated to view 187322
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187322
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187322
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187322, seq 374): Starting change to view 187323
INFO  | pbft_engine::node:48 | (V(187323), view 187323, seq 374): Updated to view 187323
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187323
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187323
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187323, seq 374): Starting change to view 187324
INFO  | pbft_engine::node:48 | (V(187324), view 187324, seq 374 *): Updated to view 187324
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187324
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187324
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187324, seq 374 *): Starting change to view 187325
INFO  | pbft_engine::node:48 | (V(187325), view 187325, seq 374): Updated to view 187325
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187325
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187325, seq 374): Starting change to view 187326
INFO  | pbft_engine::node:48 | (V(187326), view 187326, seq 374): Updated to view 187326
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187326, seq 374): Starting change to view 187327
INFO  | pbft_engine::node:48 | (V(187327), view 187327, seq 374): Updated to view 187327
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187327
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187327, seq 374): Starting change to view 187328
INFO  | pbft_engine::node:48 | (V(187328), view 187328, seq 374): Updated to view 187328
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187328, seq 374): Starting change to view 187329
INFO  | pbft_engine::node:48 | (V(187329), view 187329, seq 374 *): Updated to view 187329
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187329
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187329
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187329, seq 374 *): Starting change to view 187330
INFO  | pbft_engine::node:48 | (V(187330), view 187330, seq 374): Updated to view 187330
INFO  | pbft_engine::node:39 | (PP, view 187330, seq 374): Received f + 1 ViewChange messages; starting early view change
INFO  | pbft_engine::node:16 | (PP, view 187330, seq 374): Starting change to view 187331
INFO  | pbft_engine::node:48 | (V(187331), view 187331, seq 374): Updated to view 187331
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187331, seq 374): Starting change to view 187332
INFO  | pbft_engine::node:48 | (V(187332), view 187332, seq 374): Updated to view 187332
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187332
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187332, seq 374): Starting change to view 187333
INFO  | pbft_engine::node:48 | (V(187333), view 187333, seq 374): Updated to view 187333
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187333
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187333
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187333, seq 374): Starting change to view 187334
INFO  | pbft_engine::node:48 | (V(187334), view 187334, seq 374 *): Updated to view 187334
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187334
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187334
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187334, seq 374 *): Starting change to view 187335
INFO  | pbft_engine::node:48 | (V(187335), view 187335, seq 374): Updated to view 187335
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187335, seq 374): Starting change to view 187336
INFO  | pbft_engine::node:48 | (V(187336), view 187336, seq 374): Updated to view 187336
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187336, seq 374): Starting change to view 187337
INFO  | pbft_engine::node:48 | (V(187337), view 187337, seq 374): Updated to view 187337
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187337
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187337
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187337
INFO  | pbft_engine::node:39 | (PP, view 187337, seq 374): Received f + 1 ViewChange messages; starting early view change
INFO  | pbft_engine::node:16 | (PP, view 187337, seq 374): Starting change to view 187338
INFO  | pbft_engine::node:48 | (V(187338), view 187338, seq 374): Updated to view 187338
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187338
INFO  | pbft_engine::node:39 | (PP, view 187338, seq 374): Received f + 1 ViewChange messages; starting early view change
INFO  | pbft_engine::node:16 | (PP, view 187338, seq 374): Starting change to view 187339
INFO  | pbft_engine::node:48 | (V(187339), view 187339, seq 374 *): Updated to view 187339
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187339
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187339
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187339, seq 374 *): Starting change to view 187340
INFO  | pbft_engine::node:48 | (V(187340), view 187340, seq 374): Updated to view 187340
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187340
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187340, seq 374): Starting change to view 187341
INFO  | pbft_engine::node:48 | (V(187341), view 187341, seq 374): Updated to view 187341
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187341, seq 374): Starting change to view 187342
INFO  | pbft_engine::node:48 | (V(187342), view 187342, seq 374): Updated to view 187342
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187342, seq 374): Starting change to view 187343
INFO  | pbft_engine::node:48 | (V(187343), view 187343, seq 374): Updated to view 187343
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187343, seq 374): Starting change to view 187344
INFO  | pbft_engine::node:48 | (V(187344), view 187344, seq 374 *): Updated to view 187344
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187344
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187344
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187344, seq 374 *): Starting change to view 187345
